2026-05-16T20:58:20 [INFO    ] PopQA_v13: ╔══════════════════════════════════════════════════════╗
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ║  Training-Free Semantic Routing — PopQA v13          ║
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ║  2 PRE × 4 POST = 8 runs (Query Exp. + Caching)      ║
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ╚══════════════════════════════════════════════════════╝
2026-05-16T20:58:20 [WARNING ] PopQA_v13: The JSON file contains 1273 queries, fewer than the 1500 requested in CONFIG. Proceeding with all available queries.
2026-05-16T20:58:20 [INFO    ] PopQA_v13: Queries loaded for ablation: 1273
2026-05-16T20:58:20 [INFO    ] PopQA_v13: [FAISS] Loading: c:\Users\Utente\Desktop\Progetto_Routing_RAG\db_indexes\popqa_expanded.faiss
2026-05-16T20:58:24 [INFO    ] PopQA_v13: [FAISS] 1527 vectors, dim=384
2026-05-16T20:58:24 [INFO    ] PopQA_v13: [LLM] Loading (logits_all=True, gpu_layers=26)...
2026-05-16T20:58:29 [INFO    ] PopQA_v13: [LLM] Ready.
2026-05-16T20:58:29 [INFO    ] PopQA_v13: Router v13: 2 PRE × 4 POST = 8 total runs
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ╔══════════════════════════════════════════════════════╗
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ║  PopQA Ablation v13:  8 run × 1273 query = 10184 total ║
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ╚══════════════════════════════════════════════════════╝
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ────────────────────────────────────────────────────────────
2026-05-16T20:58:29 [INFO    ] PopQA_v13:   RUN  1/8: Always_Retrieve × Always_FAISS
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ────────────────────────────────────────────────────────────
2026-05-16T20:58:29 [INFO    ] PopQA_v13:   [   1/10184 |  0.0%] [low|pop=     44] What is the religion of Angelo Maria Rivato?
2026-05-16T21:05:09 [INFO    ] PopQA_v13:   [  62/10184 |  0.6%] [low|pop=     88] What is Rose Beaudet's occupation?
2026-05-16T21:05:13 [INFO    ] PopQA_v13:   [  63/10184 |  0.6%] [med|pop=    649] Who is the father of Kawab?
2026-05-16T21:05:20 [INFO    ] PopQA_v13:   [  64/10184 |  0.6%] [low|pop=     68] Who was the director of Homecoming?
2026-05-16T21:05:26 [INFO    ] PopQA_v13:   [  65/10184 |  0.6%] [hig|pop=   2286] What genre is Egg?
2026-05-16T21:05:31 [INFO    ] PopQA_v13:   [  66/10184 |  0.6%] [low|pop=     87] In what country is Humane Heritage Museum?
2026-05-16T21:05:38 [INFO    ] PopQA_v13:   [  67/10184 |  0.7%] [hig|pop=  42852] Who was the producer of Wild Things?
2026-05-16T21:05:45 [INFO    ] PopQA_v13:   [  68/10184 |  0.7%] [med|pop=    118] What genre is The Planet?
2026-05-16T21:05:51 [INFO    ] PopQA_v13:   [  69/10184 |  0.7%] [low|pop=     90] Who was the director of College?
2026-05-16T21:05:55 [INFO    ] PopQA_v13:   [  70/10184 |  0.7%] [hig|pop=   1648] Who was the producer of In Your Mind?
2026-05-16T21:06:03 [INFO    ] PopQA_v13:   [  71/10184 |  0.7%] [hig|pop=   3164] Who was the composer of Das Model?
2026-05-16T21:06:10 [INFO    ] PopQA_v13:   [  72/10184 |  0.7%] [hig|pop=  11703] Who was the producer of Over the Top?
2026-05-16T21:06:18 [INFO    ] PopQA_v13:   [  73/10184 |  0.7%] [hig|pop=   1469] What genre is Jump?
2026-05-16T21:06:23 [INFO    ] PopQA_v13:   [  74/10184 |  0.7%] [low|pop=     49] In what country is Crow Harbour, New Brunswick?
2026-05-16T21:06:27 [INFO    ] PopQA_v13:   [  75/10184 |  0.7%] [low|pop=     96] What sport does Masahito Noto play?
2026-05-16T21:06:31 [INFO    ] PopQA_v13:   [  76/10184 |  0.7%] [med|pop=    282] Who was the screenwriter for La rabbia?
2026-05-16T21:06:37 [INFO    ] PopQA_v13:   [  77/10184 |  0.8%] [low|pop=     50] Who was the composer of The Giants?
2026-05-16T21:06:42 [INFO    ] PopQA_v13:   [  78/10184 |  0.8%] [low|pop=     35] What is Paul Caillaud's occupation?
2026-05-16T21:06:49 [INFO    ] PopQA_v13:   [  79/10184 |  0.8%] [low|pop=     84] What is the religion of John Richardson?
2026-05-16T21:06:55 [INFO    ] PopQA_v13:   [  80/10184 |  0.8%] [med|pop=    712] Who was the screenwriter for Roman?
2026-05-16T21:07:00 [INFO    ] PopQA_v13:   [  81/10184 |  0.8%] [low|pop=     15] In what country is Têbo?
2026-05-16T21:07:07 [INFO    ] PopQA_v13:   [  82/10184 |  0.8%] [low|pop=     57] What genre is McKendree Long?
2026-05-16T21:07:13 [INFO    ] PopQA_v13:   [  83/10184 |  0.8%] [low|pop=     99] What genre is Magic?
2026-05-16T21:07:20 [INFO    ] PopQA_v13:   [  84/10184 |  0.8%] [med|pop=    789] What genre is Aquanaut's Holiday?
2026-05-16T21:07:30 [INFO    ] PopQA_v13:   [  85/10184 |  0.8%] [hig|pop=   8859] Who is the father of Skip Holtz?
2026-05-16T21:07:38 [INFO    ] PopQA_v13:   [  86/10184 |  0.8%] [low|pop=     14] Who is the author of Incoming?
2026-05-16T21:07:46 [INFO    ] PopQA_v13:   [  87/10184 |  0.9%] [hig|pop=   2506] Who was the screenwriter for The Man?
2026-05-16T21:07:52 [INFO    ] PopQA_v13:   [  88/10184 |  0.9%] [med|pop=    393] Who is the father of Mojmir II?
2026-05-16T21:08:00 [INFO    ] PopQA_v13:   [  89/10184 |  0.9%] [low|pop=     30] Who is the father of Ma Xiu?
2026-05-16T21:08:11 [INFO    ] PopQA_v13:   [  90/10184 |  0.9%] [low|pop=     64] What genre is Reminiscences?
2026-05-16T21:08:19 [INFO    ] PopQA_v13:   [  91/10184 |  0.9%] [med|pop=    155] Who is the father of Dance in the Dark?
2026-05-16T21:08:26 [INFO    ] PopQA_v13:   [  92/10184 |  0.9%] [low|pop=     35] In what country is 112th United States Colored Infantry
2026-05-16T21:08:32 [INFO    ] PopQA_v13:   [  93/10184 |  0.9%] [med|pop=    212] Who was the producer of H?
2026-05-16T21:08:40 [INFO    ] PopQA_v13:   [  94/10184 |  0.9%] [low|pop=     78] Who was the director of The Easiest Way?
2026-05-16T21:08:50 [INFO    ] PopQA_v13:   [  95/10184 |  0.9%] [med|pop=    231] In what country is Ab Bahri?
2026-05-16T21:08:55 [INFO    ] PopQA_v13:   [  96/10184 |  0.9%] [hig|pop= 170080] What is Boston the capital of?
2026-05-16T21:09:04 [INFO    ] PopQA_v13:   [  97/10184 |  1.0%] [low|pop=     69] Who was the director of A Helpful Sisterhood?
2026-05-16T21:09:10 [INFO    ] PopQA_v13:   [  98/10184 |  1.0%] [hig|pop=   1075] What genre is Tsjuder?
2026-05-16T21:09:16 [INFO    ] PopQA_v13:   [  99/10184 |  1.0%] [med|pop=    252] Who was the director of The Only Way?
2026-05-16T21:09:26 [INFO    ] PopQA_v13:   [ 100/10184 |  1.0%] [low|pop=     63] What genre is Nightdreamers?
2026-05-16T21:09:29 [INFO    ] PopQA_v13:   [ 101/10184 |  1.0%] [hig|pop=   1285] Who was the composer of Stella Deus: The Gate of Eterni
2026-05-16T21:09:39 [INFO    ] PopQA_v13:   [ 102/10184 |  1.0%] [low|pop=     30] Who was the producer of Hired!?
2026-05-16T21:09:47 [INFO    ] PopQA_v13:   [ 103/10184 |  1.0%] [med|pop=    140] Who was the screenwriter for The Tunnel?
2026-05-16T21:09:52 [INFO    ] PopQA_v13:   [ 104/10184 |  1.0%] [low|pop=     78] In what country is Donji Matejevac?
2026-05-16T21:09:56 [INFO    ] PopQA_v13:   [ 105/10184 |  1.0%] [med|pop=    157] In what country is Grosseto-Prugna?
2026-05-16T21:10:00 [INFO    ] PopQA_v13:   [ 106/10184 |  1.0%] [low|pop=     32] In what country is Korean Magazine Museum?
2026-05-16T21:10:07 [INFO    ] PopQA_v13:   [ 107/10184 |  1.1%] [hig|pop=   1378] Who was the screenwriter for Slam?
2026-05-16T21:10:12 [INFO    ] PopQA_v13:   [ 108/10184 |  1.1%] [low|pop=     88] In what country is Domašov?
2026-05-16T21:10:17 [INFO    ] PopQA_v13:   [ 109/10184 |  1.1%] [low|pop=     98] What genre is Info?
2026-05-16T21:10:19 [INFO    ] PopQA_v13:   [ 110/10184 |  1.1%] [low|pop=     93] Who is the author of The Burning?
2026-05-16T21:10:27 [INFO    ] PopQA_v13:   [ 111/10184 |  1.1%] [hig|pop=   3534] Who was the producer of The Circus?
2026-05-16T21:10:35 [INFO    ] PopQA_v13:   [ 112/10184 |  1.1%] [med|pop=    104] Who is the author of The Secret?
2026-05-16T21:10:39 [INFO    ] PopQA_v13:   [ 113/10184 |  1.1%] [hig|pop=   1293] What sport does World Triathlon play?
2026-05-16T21:10:46 [INFO    ] PopQA_v13:   [ 114/10184 |  1.1%] [low|pop=     59] In what city was Nay Myo Thant born?
2026-05-16T21:10:52 [INFO    ] PopQA_v13:   [ 115/10184 |  1.1%] [med|pop=    433] What sport does János Farkas play?
2026-05-16T21:10:56 [INFO    ] PopQA_v13:   [ 116/10184 |  1.1%] [hig|pop=  67560] What is the capital of French Polynesia?
2026-05-16T21:11:06 [INFO    ] PopQA_v13:   [ 117/10184 |  1.1%] [low|pop=     37] Who was the screenwriter for Fear No More?
2026-05-16T21:11:15 [INFO    ] PopQA_v13:   [ 118/10184 |  1.2%] [med|pop=    308] Who was the director of The Spoilers?
2026-05-16T21:11:20 [INFO    ] PopQA_v13:   [ 119/10184 |  1.2%] [hig|pop=   1350] What sport does Niklas Stark play?
2026-05-16T21:11:25 [INFO    ] PopQA_v13:   [ 120/10184 |  1.2%] [med|pop=    208] What genre is The Unlovables?
2026-05-16T21:11:34 [INFO    ] PopQA_v13:   [ 121/10184 |  1.2%] [low|pop=     96] What sport does Livia Altmann play?
2026-05-16T21:11:40 [INFO    ] PopQA_v13:   [ 122/10184 |  1.2%] [low|pop=     57] What sport does Leonardo Torres play?
2026-05-16T21:11:43 [INFO    ] PopQA_v13:   [ 123/10184 |  1.2%] [hig|pop=   1591] Who was the producer of The Touch?
2026-05-16T21:11:49 [INFO    ] PopQA_v13:   [ 124/10184 |  1.2%] [med|pop=    344] What is the religion of Abdulla al-Hadj?
2026-05-16T21:11:57 [INFO    ] PopQA_v13:   [ 125/10184 |  1.2%] [med|pop=    202] Who is the father of Amenemopet?
2026-05-16T21:12:04 [INFO    ] PopQA_v13:   [ 126/10184 |  1.2%] [med|pop=    150] Who is the author of Tropic Moon?
2026-05-16T21:12:12 [INFO    ] PopQA_v13:   [ 127/10184 |  1.2%] [med|pop=    190] Who is the author of Splendors and Glooms?
2026-05-16T21:12:20 [INFO    ] PopQA_v13:   [ 128/10184 |  1.3%] [med|pop=    241] Who was the screenwriter for The Haircut?
2026-05-16T21:12:26 [INFO    ] PopQA_v13:   [ 129/10184 |  1.3%] [hig|pop=  11173] Who was the screenwriter for Smart People?
2026-05-16T21:12:34 [INFO    ] PopQA_v13:   [ 130/10184 |  1.3%] [low|pop=     92] What sport does Bill Wilkinson play?
2026-05-16T21:12:41 [INFO    ] PopQA_v13:   [ 131/10184 |  1.3%] [hig|pop=   5609] Who was the screenwriter for Greed?
2026-05-16T21:12:46 [INFO    ] PopQA_v13:   [ 132/10184 |  1.3%] [hig|pop=   1420] What is the religion of Mahmoud Taleghani?
2026-05-16T21:12:54 [INFO    ] PopQA_v13:   [ 133/10184 |  1.3%] [hig|pop= 160245] Who was the screenwriter for Neon Genesis Evangelion?
2026-05-16T21:13:03 [INFO    ] PopQA_v13:   [ 134/10184 |  1.3%] [low|pop=     64] What sport does WTA South Orange play?
2026-05-16T21:13:13 [INFO    ] PopQA_v13:   [ 135/10184 |  1.3%] [hig|pop= 129345] Who was the producer of 19?
2026-05-16T21:13:20 [INFO    ] PopQA_v13:   [ 136/10184 |  1.3%] [med|pop=    189] Who is the father of George II of Brieg?
2026-05-16T21:13:28 [INFO    ] PopQA_v13:   [ 137/10184 |  1.3%] [med|pop=    363] Who was the screenwriter for India: Matri Bhumi?
2026-05-16T21:13:37 [INFO    ] PopQA_v13:   [ 138/10184 |  1.4%] [hig|pop=   3464] What is Michael Radford's occupation?
2026-05-16T21:13:42 [INFO    ] PopQA_v13:   [ 139/10184 |  1.4%] [med|pop=    733] Who was the director of Tears of April?
2026-05-16T21:13:48 [INFO    ] PopQA_v13:   [ 140/10184 |  1.4%] [hig|pop=  42792] Who was the producer of The Bodyguard?
2026-05-16T21:13:55 [INFO    ] PopQA_v13:   [ 141/10184 |  1.4%] [low|pop=     47] In what city was Gerhard Ludwig born?
2026-05-16T21:14:00 [INFO    ] PopQA_v13:   [ 142/10184 |  1.4%] [med|pop=    135] Who was the producer of The Secret Game?
2026-05-16T21:14:04 [INFO    ] PopQA_v13:   [ 143/10184 |  1.4%] [low|pop=     39] In what country is Valdearcos de la Vega?
2026-05-16T21:14:10 [INFO    ] PopQA_v13:   [ 144/10184 |  1.4%] [low|pop=      9] Who is the author of Facing the Future?
2026-05-16T21:14:19 [INFO    ] PopQA_v13:   [ 145/10184 |  1.4%] [hig|pop=   1715] Who was the screenwriter for Pilot?
2026-05-16T21:14:24 [INFO    ] PopQA_v13:   [ 146/10184 |  1.4%] [low|pop=     71] Who is the author of Getting Free?
2026-05-16T21:14:28 [INFO    ] PopQA_v13:   [ 147/10184 |  1.4%] [hig|pop=  88655] Who was the director of Ghost?
2026-05-16T21:14:34 [INFO    ] PopQA_v13:   [ 148/10184 |  1.5%] [low|pop=     73] What is the capital of arrondissement of Castellane?
2026-05-16T21:14:42 [INFO    ] PopQA_v13:   [ 149/10184 |  1.5%] [med|pop=    735] Who was the screenwriter for Thanksgiving?
2026-05-16T21:14:49 [INFO    ] PopQA_v13:   [ 150/10184 |  1.5%] [hig|pop=   5278] What genre is The Music?
2026-05-16T21:14:57 [INFO    ] PopQA_v13:   [ 151/10184 |  1.5%] [med|pop=    328] What genre is The Checks?
2026-05-16T21:15:05 [INFO    ] PopQA_v13:   [ 152/10184 |  1.5%] [hig|pop=  11306] What is Pierre the capital of?
2026-05-16T21:15:14 [INFO    ] PopQA_v13:   [ 153/10184 |  1.5%] [hig|pop=   1859] What is the capital of Dhule district?
2026-05-16T21:15:21 [INFO    ] PopQA_v13:   [ 154/10184 |  1.5%] [hig|pop=  19262] What genre is The Missing?
2026-05-16T21:15:27 [INFO    ] PopQA_v13:   [ 155/10184 |  1.5%] [low|pop=     66] In what country is Eeuwfeestkliniek?
2026-05-16T21:15:31 [INFO    ] PopQA_v13:   [ 156/10184 |  1.5%] [hig|pop=   7085] Who was the producer of 9?
2026-05-16T21:15:37 [INFO    ] PopQA_v13:   [ 157/10184 |  1.5%] [low|pop=     89] Who was the director of The Betrayed?
2026-05-16T21:15:45 [INFO    ] PopQA_v13:   [ 158/10184 |  1.6%] [med|pop=    790] What genre is christ.?
2026-05-16T21:15:51 [INFO    ] PopQA_v13:   [ 159/10184 |  1.6%] [low|pop=     66] What sport does Francisco Javier Lloret Martínez play?
2026-05-16T21:15:55 [INFO    ] PopQA_v13:   [ 160/10184 |  1.6%] [hig|pop=   1626] Who was the producer of The Swan?
2026-05-16T21:16:01 [INFO    ] PopQA_v13:   [ 161/10184 |  1.6%] [hig|pop=   1559] In what country is Seton Hall Preparatory School?
2026-05-16T21:16:09 [INFO    ] PopQA_v13:   [ 162/10184 |  1.6%] [low|pop=     67] In what country is Breitenfelde?
2026-05-16T21:16:15 [INFO    ] PopQA_v13:   [ 163/10184 |  1.6%] [low|pop=     40] In what city was Giuseppe Castelli born?
2026-05-16T21:16:21 [INFO    ] PopQA_v13:   [ 164/10184 |  1.6%] [med|pop=    205] What is the capital of Muyinga Province?
2026-05-16T21:16:29 [INFO    ] PopQA_v13:   [ 165/10184 |  1.6%] [med|pop=    182] Who was the director of Asthamayam?
2026-05-16T21:16:37 [INFO    ] PopQA_v13:   [ 166/10184 |  1.6%] [hig|pop=   1824] Who was the screenwriter for Training Day?
2026-05-16T21:16:45 [INFO    ] PopQA_v13:   [ 167/10184 |  1.6%] [med|pop=    354] Who was the screenwriter for Pilot?
2026-05-16T21:16:50 [INFO    ] PopQA_v13:   [ 168/10184 |  1.6%] [low|pop=     87] Who was the director of Big Dreams Little Tokyo?
2026-05-16T21:16:57 [INFO    ] PopQA_v13:   [ 169/10184 |  1.7%] [hig|pop=  30165] Who was the director of Three Men and a Baby?
2026-05-16T21:17:05 [INFO    ] PopQA_v13:   [ 170/10184 |  1.7%] [med|pop=    771] Who was the director of So Big?
2026-05-16T21:17:11 [INFO    ] PopQA_v13:   [ 171/10184 |  1.7%] [hig|pop=   2383] Who was the screenwriter for Patrick?
2026-05-16T21:17:19 [INFO    ] PopQA_v13:   [ 172/10184 |  1.7%] [hig|pop=   3515] What is Richard Marles's occupation?
2026-05-16T21:17:24 [INFO    ] PopQA_v13:   [ 173/10184 |  1.7%] [med|pop=    682] In what country is Naval Nuclear Power Training Command
2026-05-16T21:17:32 [INFO    ] PopQA_v13:   [ 174/10184 |  1.7%] [hig|pop=   4448] Who was the composer of Bibbidi-Bobbidi-Boo?
2026-05-16T21:17:43 [INFO    ] PopQA_v13:   [ 175/10184 |  1.7%] [med|pop=    381] Who was the producer of Bring 'Em All In?
2026-05-16T21:17:50 [INFO    ] PopQA_v13:   [ 176/10184 |  1.7%] [med|pop=    945] Who was the screenwriter for The Last Minute?
2026-05-16T21:17:55 [INFO    ] PopQA_v13:   [ 177/10184 |  1.7%] [med|pop=    999] Who was the director of I Do?
2026-05-16T21:18:01 [INFO    ] PopQA_v13:   [ 178/10184 |  1.7%] [med|pop=    358] Who is the author of 23 Years?
2026-05-16T21:18:11 [INFO    ] PopQA_v13:   [ 179/10184 |  1.8%] [med|pop=    961] What genre is Star Crystal?
